county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
0127,Botkyrka                                          ,91 531,856,924,438,486,6 363,4 004,989,1 370,6 039,4 452,1 157,430,324,-448,-168,940
0162,Danderyd                                          ,32 859,206,172,203,-31,2 437,1 496,419,522,2 205,1 434,387,384,232,62,32,138
0125,Ekerö                                             ,27 696,290,201,124,77,1 457,1 040,244,173,1 243,868,289,86,214,172,-45,87
0136,Haninge                                           ,87 405,1 712,823,440,383,5 924,4 030,972,922,4 606,3 311,1 041,254,1 318,719,-69,668
0126,Huddinge                                          ,109 434,1 896,941,454,487,9 060,6 179,1 432,1 449,7 696,5 819,1 426,451,1 364,360,6,998
0123,Järfälla                                          ,75 798,1 386,672,400,272,5 281,3 588,945,748,4 178,2 877,1 091,210,1 103,711,-146,538
0186,Lidingö                                           ,47 137,284,356,306,50,2 957,1 774,598,585,2 733,1 810,585,338,224,-36,13,247
0182,Nacka                                             ,100 830,1 471,928,476,452,6 817,4 572,1 291,954,5 788,4 098,1 205,485,1 029,474,86,469
0188,Norrtälje                                         ,60 550,1 130,423,495,-72,3 019,1 685,848,486,1 825,988,684,153,1 194,697,164,333
0140,Nykvarn                                           ,10 613,189,84,51,33,606,392,157,57,450,243,187,20,156,149,-30,37
0192,Nynäshamn                                         ,28 003,251,225,211,14,1 473,914,359,200,1 239,793,380,66,234,121,-21,134
0128,Salem                                             ,16 678,63,127,102,25,981,699,157,125,947,657,227,63,34,42,-70,62
0191,Sigtuna                                           ,46 883,609,463,251,212,3 453,1 987,899,567,3 065,1 622,1 260,183,388,365,-361,384
0163,Sollentuna                                        ,71 591,568,531,352,179,4 734,3 027,959,748,4 354,3 031,991,332,380,-4,-32,416
0184,Solna                                             ,79 328,1 199,992,434,558,9 091,5 722,1 938,1 431,8 446,6 356,1 429,661,645,-634,509,770
0180,Stockholm                                         ,947 380,11 761,10 276,4 798,5 478,55 598,24 256,17 653,13 689,49 411,29 481,13 966,5 964,6 187,-5 225,3 687,7 725
0183,Sundbyberg                                        ,49 018,1 268,638,226,412,5 631,4 034,901,696,4 778,3 750,787,241,853,284,114,455
0181,Södertälje                                        ,95 755,1 124,888,508,380,5 403,2 749,1 395,1 259,4 706,2 529,1 783,394,697,220,-388,865
0138,Tyresö                                            ,47 203,100,358,237,121,2 255,1 507,437,311,2 280,1 736,432,112,-25,-229,5,199
0160,Täby                                              ,70 106,720,479,373,106,4 165,2 841,687,637,3 554,2 446,820,288,611,395,-133,349
