county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
0127,Botkyrka                                          ,91 531,295,316,131,185,2 276,1 411,358,507,2 166,1 500,501,165,110,-89,-143,342
0162,Danderyd                                          ,32 859,142,69,59,10,1 031,563,176,292,903,512,189,202,128,51,-13,90
0125,Ekerö                                             ,27 696,111,66,40,26,517,354,95,68,422,286,122,14,95,68,-27,54
0136,Haninge                                           ,87 405,533,280,130,150,2 076,1 372,368,336,1 716,1 173,454,89,360,199,-86,247
0126,Huddinge                                          ,109 434,796,334,139,195,3 333,2 135,584,614,2 757,1 987,573,197,576,148,11,417
0123,Järfälla                                          ,75 798,502,221,114,107,1 936,1 284,373,279,1 547,997,484,66,389,287,-111,213
0186,Lidingö                                           ,47 137,83,135,89,46,1 120,627,228,265,1 103,711,259,133,17,-84,-31,132
0182,Nacka                                             ,100 830,520,331,175,156,2 528,1 614,502,412,2 174,1 420,565,189,354,194,-63,223
0188,Norrtälje                                         ,60 550,366,135,137,-2,1 093,607,316,170,741,400,267,74,352,207,49,96
0140,Nykvarn                                           ,10 613,94,34,18,16,268,173,60,35,189,102,80,7,79,71,-20,28
0192,Nynäshamn                                         ,28 003,26,74,67,7,507,305,142,60,491,304,170,17,16,1,-28,43
0128,Salem                                             ,16 678,-9,51,28,23,359,261,57,41,395,261,100,34,-36,0,-43,7
0191,Sigtuna                                           ,46 883,26,163,77,86,1 161,653,315,193,1 219,607,538,74,-58,46,-223,119
0163,Sollentuna                                        ,71 591,312,191,93,98,1 819,1 136,346,337,1 621,1 036,443,142,198,100,-97,195
0184,Solna                                             ,79 328,679,327,145,182,3 644,2 122,804,718,3 158,2 261,591,306,486,-139,213,412
0180,Stockholm                                         ,947 380,5 010,3 469,1 436,2 033,21 587,8 468,7 040,6 079,18 690,10 427,5 897,2 366,2 897,-1 959,1 143,3 713
0183,Sundbyberg                                        ,49 018,425,232,71,161,1 963,1 331,353,279,1 698,1 281,347,70,265,50,6,209
0181,Södertälje                                        ,95 755,445,296,158,138,2 062,1 097,525,440,1 777,877,764,136,285,220,-239,304
0138,Tyresö                                            ,47 203,-3,132,74,58,779,483,159,137,842,588,213,41,-63,-105,-54,96
0160,Täby                                              ,70 106,237,135,123,12,1 680,1 084,302,294,1 457,928,389,140,223,156,-87,154
0114,Upplands Väsby                                    ,44 454,124,133,73,60,1 034,659,187,188,965,623,289,53,69,36,-102,135
0139,Upplands-Bro                                      ,27 409,144,82,32,50,711,438,143,130,617,350,217,50,94,88,-74,80
0115,Vallentuna                                        ,33 169,169,96,48,48,752,462,169,121,638,408,184,46,114,54,-15,75
0187,Vaxholm                                           ,11 787,14,21,12,9,215,123,58,34,207,132,59,16,8,-9,-1,18
0120,Värmdö                                            ,43 087,372,98,60,38,999,718,155,126,668,418,181,69,331,300,-26,57
0117,Österåker                                         ,43 889,230,133,55,78,844,524,189,131,694,415,229,50,150,109,-40,81
