county_id,county_name,population_per_sq_km
0114,Upplands Väsby,585.1
0115,Vallentuna,91.6
0117,Österåker,138.6
0120,Värmdö,93.7
0123,Järfälla,1383.5
0125,Ekerö,126.0
0126,Huddinge,820.7
0127,Botkyrka,467.0
0128,Salem,307.0
0136,Haninge,187.2
0138,Tyresö,680.4
0139,Upplands-Bro,113.7
0140,Nykvarn,68.2
0160,Täby,1143.2
0162,Danderyd,1236.9
0163,Sollentuna,1349.7
0180,Stockholm,4999.1
0181,Södertälje,180.3
0182,Nacka,1044.6
0183,Sundbyberg,5496.4
0184,Solna,4050.4
0186,Lidingö,1521.4
0187,Vaxholm,200.9
0188,Norrtälje,29.5
0191,Sigtuna,141.2
0192,Nynäshamn,77.4
0305,Höbo,144.5
0319,Älvkarleby,43.9
0330,Knivsta,61.4
0331,Heby,11.8
0360,Tierp,13.4
0380,Uppsala,98.3
0381,Enköping,36.5
0382,Östhammar,14.8
0428,Vingåker,24.6
0461,Gnesta,23.6
0480,Nyköping,38.7
0481,Oxelösund,336.5
0482,Flen,23.4
0483,Katrineholm,33.1
0484,Eskilstuna,94.3
0486,Strängnäs,46.8
0488,Trosa,59.3
0509,Ödeshög,12.3
0512,Ydre,5.4
0513,Kinda,8.7
0560,Boxholm,10.2
0561,Åtvidaberg,16.9
0562,Finspång,20.4
0563,Valdemarsvik,10.6
0580,Linköping,109.1
0581,Norrköping,93.2
0582,söderköping,21.4
0583,Motala,44.0
0584,Vadstena,38.4
0586,Mjölby,48.8
0604,Aneby,12.8
0617,Gnosjö,22.9
0642,Mullsjö,36.1
0643,Habo,35.3
0662,Gislaved,25.9
0665,Vaggeryd,16.5
0680,Jönköping,91.4
0682,Nässjö,33.1
0683,Värnamo,27.9
0684,Sävsjö,16.8
0685,Vetlanda,18.2
0686,Eksjö,21.4
0687,Tranås,46.7
0760,Uppvidinge,8.1
0761,Lessebo,21.2
0763,Tingsryd,11.9
0764,Alvesta,20.4
0765,Älmhult,18.7
0767,Markaryd,19.3
0780,Växjö,53.7
0781,Ljungby,16.0
0821,Högsby,8.1
0834,Torsås,15.1
0840,Mörbylånga,22.4
0860,Hultsfred,13.0
0861,Mönsterås,22.3
0862,Emmaboda,13.6
0880,Kalmar,69.6
0881,Nybro,17.3
0882,Oskarshamn,25.8
0883,Västervik,19.4
0884,Vimmerby,13.7
0885,Borgholm,16.1
0980,Gotland,18.5
1060,Olofström,34.4
1080,Karlskrona,63.6
1081,Ronneby,35.4
1082,Karlshamn,65.7
1083,Sölvesborg,94.1
1214,Svalöv,35.9
1230,Staffanstorp,221.0
1231,Burlöv,933.6
1233,Vellinge,247.1
1256,Östra Göinge,33.4
1257,örkelljunga,31.2
1260,Bjuv,131.8
1261,Kävlinge,200.2
1262,Lomma,430.3
1263,Svedala,95.3
1264,Skurup,79.6
1265,sjöbo,38.1
1266,Hörby,36.4
1267,Höör,55.7
1270,Tomelilla,33.7
1272,Bromölla,77.7
1273,Osby,22.8
1275,Perstorp,46.2
1276,Klippan,46.0
1277,Åstorp,168.1
1278,Båstad,67.3
1280,Malmö,2097.6
1281,Lund,277.6
1282,Landskrona,318.1
1283,Helsingborg,408.7
1284,Höganäs,180.1
1285,Eslöv,78.5
1286,Ystad,84.1
1287,Trelleborg,129.2
1290,Kristianstad,66.8
1291,Simrishamn,49.7
1292,Ängelholm,98.4
1293,Hässleholm,40.7
1315,Hylte,11.6
1380,Halmstad,97.2
1381,Laholm,27.9
1382,Falkenberg,39.6
1383,Varberg,71.2
1384,Kungsbacka,132.6
1401,Härryda,139.1
1402,Partille,657.0
1407,Öckerö,496.1
