county_id,county_name,area
0114,Upplands Väsby,75.01
0115,Vallentuna,357.74
0117,Österåker,312.37
0120,Värmdö,448.12
0123,Järfälla,53.79
0125,Ekerö,217.46
0126,Huddinge,131.03
0127,Botkyrka,194.15
0128,Salem,54.11
0136,Haninge,457.85
0138,Tyresö,69.23
0139,Upplands-Bro,235.29
0140,Nykvarn,152.74
0160,Tä4by,60.69
0162,Danderyd,26.40
0163,Sollentuna,52.62
0180,Stockholm,187.16
0181,Södertälje,524.86
0182,Nacka,95.12
0183,Sundbyberg,8.69
0184,Solna,19.29
0186,Lidingö,30.80
0187,Vaxholm,57.84
0188,Norrtälje,2015.35
0191,Sigtuna,327.66
0192,Nynäshamn,358.75
0305,Höbo,143.55
0319,Älvkarleby,215.24
0330,Knivsta,282.13
0331,Heby,1166.90
0360,Tierp,1546.33
0380,Uppsala,2182.41
0381,Enköping,1178.35
0382,Östhammar,1474.61
0428,Vingåker,370.32
0461,Gnesta,461.11
0480,Nyköping,1420.46
0481,Oxelösund,35.43
0482,Flen,718.49
0483,Katrineholm,1020.16
0484,Eskilstuna,1099.89
0486,Strängnäs,739.42
0488,Trosa,209.79
0509,Ödeshög,433.97
0512,Ydre,675.39
0513,Kinda,1129.40
0560,Boxholm,525.74
0561,Åtvidaberg,686.60
0562,Finspång,1055.25
0563,Valdemarsvik,733.97
0580,Linköping,1427.72
0581,Norrköping,1495.52
0582,Söderköping,674.27
0583,Motala,982.99
0584,Vadstena,191.60
0586,Mjölby,547.00
0604,Aneby,517.68
0617,Gnosjö,420.55
0642,Mullsjö,200.13
0643,Habo,328.49
0662,Gislaved,1137.07
0665,Vaggeryd,824.88
0680,Jönköping,1480.21
0682,Nässjö,930.22
0683,Värnamo,1215.82
0684,Sävsjö,679.30
0685,Vetlanda,1500.35
0686,Eksjö,799.40
0687,Tranås,402.60
0760,Uppvidinge,1171.88
0761,Lessebo,412.54
0763,Tingsryd,1044.76
0764,Alvesta,974.07
0765,Älmhult,890.50
0767,Markaryd,517.15
0780,Växjö,1665.49
0781,Ljungby,1747.88
0821,Högsby,751.10
0834,Torsås,468.35
0840,Mörbylånga,667.25
0860,Hultsfred,1121.50
0861,Mönsterås,599.41
0862,Emmaboda,689.54
0880,Kalmar,956.62
0881,Nybro,1171.72
0882,Oskarshamn,1046.66
0883,Västervik,1874.47
0884,Vimmerby,1140.22
0885,Borgholm,677.84
0980,Gotland,3134.98
1060,Olofström,389.79
1080,Karlskrona,1042.05
1081,Ronneby,825.29
1082,Karlshamn,488.68
1083,Sölvesborg,185.31
1214,Svalöv,387.18
1230,Staffanstorp,106.78
1231,Burlöv,18.90
1233,Vellinge,142.66
1256,Östra Göinge,431.84
1257,Örkelljunga,319.50
1260,Bjuv,115.31
1261,Kävlinge,152.54
1262,Lomma,55.51
1263,Svedala,217.91
1264,Skurup,193.51
1265,Sjöbo,492.01
1266,Hörby,419.37
1267,Höör,290.55
1270,Tomelilla,395.93
1272,Bromölla,162.49
1273,Osby,576.38
1275,Perstorp,158.77
1276,Klippan,374.32
1277,Åstorp,92.35
1278,Båstad,217.13
1280,Malmö,156.60
1281,Lund,427.07
1282,Landskrona,140.26
1283,Helsingborg,343.89
1284,Höganäs,143.50
1285,Eslöv,419.02
1286,Ystad,350.00
1287,Trelleborg,339.80
1290,Kristianstad,1245.22
1291,Simrishamn,392.34
1292,Ängelholm,419.87
1293,Hässleholm,1268.97
1315,Hylte,946.53
1380,Halmstad,1013.97
1381,Laholm,882.80
1382,Falkenberg,1108.53
1383,Varberg,868.62
1384,Kungsbacka,606.60
1401,Härryda,266.70
1402,Partille,56.80
1407,Öckerö,25.75
1415,Stenungsund,251.87
1419,Tjörn,167.36
1421,Orust,386.49
1427,Sotenäs,138.20
1430,Munkedal,634.02
1435,Tanum,917.21
1438,Dals-Ed,724.31
1439,Färgelanda,588.98
1440,Ale,317.01
1441,Lerum,258.55
1442,Vårgårda,426.58
1443,Bollebygd,263.16
1444,Grästorp,264.64
1445,Essunga,234.58
1446,Karlsborg,405.82
1447,Gullspång,315.44
1452,Tranemo,741.20
1460,Bengtsfors,882.98
1461,Mellerud,513.74
1462,Lilla Edet,315.64
1463,Mark,929.20
1465,Svenljunga,919.68
1466,Herrljunga,497.48
1470,Vara,696.93
1471,Götene,404.51
1472,Tibro,219.80
1473,Töreboda,540.69
1480,Göteborg,447.88
1481,Mölndal,145.84
1482,Kungälv,362.45
1484,Lysekil,208.45
1485,Uddevalla,637.66
1486,Strömstad,467.47
1487,Vänersborg,642.60
1488,Trollhättan,409.86
1489,Alingsås,472.00
1490,Borås,909.88
1491,Ulricehamn,1046.03
1492,Åmål,481.11
1493,Mariestad,602.47
1494,Lidköping,698.63
1495,Skara,428.62
1496,Skövde,673.68
1497,Hjo,297.04
1498,Tidaholm,517.98
1499,Falköping,1044.88
1715,Kil,359.72
1730,Eda,820.18
1737,Torsby,4162.21
1760,Storfors,391.68
1761,Hammarö,59.44
1762,Munkfors,141.58
1763,Forshaga,348.16
1764,Grums,386.36
1765,Årjäng,1409.44
1766,Sunne,1288.02
1780,Karlstad,1168.66
1781,Kristinehamn,755.20
1782,Filipstad,1534.04
1783,Hagfors,1824.19
1784,Arvika,1649.03
1785,Säffle,1220.88
1814,Lekeberg,463.16
1860,Laxå,602.00
1861,Hallsberg,636.71
1862,Degerfors,383.95
1863,Hällefors,984.96
1864,Ljusnarsberg,575.54
1880,Örebro,1373.02
1881,Kumla,204.20
1882,Askersund,816.46
1883,Karlskoga,468.24
1884,Nora,618.54
1885,Lindesberg,1377.60
1904,Skinnskatteberg,659.42
1907,Surahammar,343.90
1960,Kungsör,202.62
1961,Hallstahammar,169.53
1962,Norberg,417.86
1980,Västerås,958.83
1981,Sala,1166.83
1982,Fagersta,269.03
1983,Köping,604.27
1984,Arboga,325.40
2021,Vansbro,1539.55
2023,Malung-Sälen,4084.89
2026,Gagnef,767.23
2029,Leksand,1221.20
2031,Rättvik,1920.67
2034,Orsa,1730.79
2039,Älvdalen,6871.91
2061,Smedjebacken,947.95
2062,Mora,2812.43
2080,Falun,2040.27
2081,Borlänge,583.92
2082,Säter,570.33
2083,Hedemora,834.79
2084,Avesta,613.16
2085,Ludvika,1490.37
2101,Ockelbo,1064.76
2104,Hofors,409.95
2121,Ovanåker,1873.32
2132,Nordanstig,1370.48
2161,Ljusdal,5256.37
2180,Gävle,1613.84
2181,Sandviken,1165.78
